381.67	3.0562
347.2	3.9922
313	6.8366
279.31	11.568
246.4	18.15
214.67	24.333
182.67	30.667
151.67	41.667
126	52.667
95	65.333
71	79.667
51.667	96.333
32	116.67
17.333	142
11.333	164.67
5.3333	190.67
1.3333	208.33
0.6667	230.33
-0.3333	254.33
-0.3333	273.67
2.6667	297
7.3333	317
15.667	337.67
26	358.67
38.934	380.38
55.333	401.33
73.667	420
93.333	435.33
123	451.33
153	462.33
181	474
214.23	482.76
248.33	489.33
279.33	491.33
312	496.67
345.33	498.33
377	497.67
414.67	498
449.67	500.67
484.33	499.33
518	494.33
548.33	485
580.33	475
608.33	465.33
636.33	452.67
664	438.33
685.33	421.67
705.39	399.32
722.67	380.33
737.33	361.33
750.67	341
759.67	318.67
767	298
772.33	278
777	255
775.51	233.06
771.02	211.29
765.67	190
757.33	168.67
744.33	147.33
729.33	125.67
712.33	105.67
691.67	84.667
670.67	66.333
646.33	48.333
618	34
589.33	25
554.67	18.333
518.67	11.333
484.67	7.6667
450	5
415.67	2.6667
