10.72	303.87
5	251
7.64	232.91
13.16	249.88
13.5	264
14	183.5
16	232
17.36	295.55
21.16	256.34
19.12	285.21
21.1	174.3
25.8	154.75
24.13	299.22
25	187.44
24	264
29	278.15
30.87	325.72
31	167.92
42.66	136.03
31	234.17
32.09	260.36
31.33	178.33
32.62	363.38
34.61	304.04
35	229.07
37.44	350.12
38	251
39	155.14
37.6	372.4
40.79	146.93
40	283.65
40.78	184.11
39.2	274.6
41	333.84
43.42	172.15
43.78	216.61
45.14	235.35
43.5	368.71
45.8	263.89
43.75	381.75
47.27	342.27
48.5	250.67
50.96	207.68
49	279
50.2	297.5
52.29	152.82
55.59	225.38
55	283
56.88	109
55.36	357.4
55.91	382.36
57.41	132.06
56.5	198
57.59	255.05
57.09	267.36
59.28	213.06
57	330.5
60.82	122.76
61	191
64	285.8
61.5	392
67.43	376.22
65	98.5
65.29	250.68
64.23	407.46
66.28	112.89
66.43	154.09
65.5	230
67.73	212.67
66	225
69.11	200.11
69.5	133.5
71.43	173.93
75	189
76.31	228.31
77	326.23
76	96
77	143.16
76.53	213.29
78.17	243.48
77.33	281.5
79.87	294.2
79.5	102.29
79.22	202.26
81.51	401.57
82.88	147.59
84.6	118.75
86	191.31
85.88	306.84
86.2	333.4
86.94	267.59
88.3	219.9
88.89	156.67
97.08	88.58
92	297.47
92.07	132.87
92	143
93.28	343.79
93.75	320.21
95	242.5
95.8	402.77
95.93	120.33
96.27	187
96.43	160.29
97.47	251.13
97.21	281
99.23	418.3
102.55	439.8
98.86	178.29
99.67	215.67
99.36	429.21
101.96	301.57
100.62	370.62
102.92	140.14
102.64	206.45
100.5	383
104.07	268.49
103.23	325.23
105.57	127.98
105.71	110.86
105	237.5
107.34	361.7
106.86	342.86
106	391.5
109.97	382.9
110	67
110.88	147
112.67	186.33
113.93	323.93
114.25	81.62
113.5	245
114.9	268.9
114.45	396.82
115.43	280.71
115.51	299.74
116.05	344.32
116.36	427.33
117.04	409.7
120.41	126.93
119.71	200.82
119.75	210
121.42	234.77
120.53	376.67
121.36	359.32
122.84	74.895
122.57	89.29
124	163.88
124	246
124.81	267.3
126.91	138.51
125.5	94.5
127	214
128.6	401.5
131.41	254.44
131	331
131.91	432.36
132.5	446
134.11	310.11
134.43	157.86
135.69	206.23
133.5	270
133.5	292
134.62	360.46
134	458
136.17	124.17
136.77	143.77
135.88	384.12
139	169.66
136.5	409
140.61	248.87
143.27	305.54
141.41	392.09
144.15	75.208
143.07	116.18
141.67	264.33
144.86	198.93
144.5	327
144.92	430.2
146.48	291.96
145.17	410.83
147.67	336.67
149.5	160.41
147.5	180
147	272
148.4	276.2
149	239
152.53	255.76
155.85	217.5
153.76	386.66
157.52	72.589
155.42	96.69
155.5	120.09
153.88	300
153.25	423
155.69	399.56
156	321.5
155.71	347
158.5	51.5
160.96	366.14
159.54	409.85
162.15	294.49
161.13	387.91
163.12	127.59
163.29	234.42
163.07	256.93
164.2	330.86
165.76	186.21
165	200.5
167	164.5
169.11	53.611
167.4	376.2
168.91	64.273
169.8	92.6
170.36	121.21
171.5	107.5
172.25	213.75
171	445
174.14	255.36
173.92	288.08
173.71	471
175.44	228.62
175.7	378.61
176.94	127.91
176	178
184.98	46.733
178.85	319.67
178.47	353.65
179.64	438.39
178.91	57.364
180.36	145.96
182.27	298.33
183.46	365.71
184.5	65.816
183	281.5
183	447
185.96	185.25
186.17	417.17
187.39	262.18
187.08	427.17
189	126
188.33	212
191.68	84.63
189.5	247.5
190.08	318.58
192.56	338.33
191.29	406.57
192.18	442.89
193.35	140.39
192	238
192.12	271.88
193.39	305.13
193.5	38.5
195.31	116.06
194.33	148.67
195.2	230.5
197.21	422.38
198.5	217.18
197.5	189.5
199.57	450.62
201	179.83
202.23	77.571
201.27	126.2
200.5	348.5
201.6	44.8
204.4	235.6
204.14	336.07
204.62	394.4
205.09	273.36
205.14	304.57
205.4	244.2
206.96	375.39
206	131
207	254.5
209.41	160.82
211.05	38.842
210.93	68.733
212.37	223.67
211.36	172.21
212.14	117.57
214.52	316.67
214.62	381.04
220.1	99.58
212	106.5
216.14	248.24
213.43	416.29
217.25	53
216.4	261.25
215.5	301
217.83	329.17
221.93	72
221.88	391.47
223.36	141.88
224.75	158.12
222	469.5
226.08	113.8
225.17	310.5
226.51	454.95
226.65	198.41
226.83	188.83
227.25	257.62
228.41	331.82
230.18	65.364
227.8	269.4
229.59	244.15
230.5	79
231.63	207.37
230.57	471.23
231.2	178.4
231	357.71
233.65	147.88
233.4	295
233	321
232.5	421
232.4	164.8
233.5	216.5
234.27	312.41
234.17	345.17
235.94	120.64
239.54	83.08
239.59	219.59
238.62	432.62
239.32	157.16
239	247
241.64	37.077
240.62	283.15
241.74	71.316
241	183.5
242.16	452.06
241.93	92.93
243.49	473.28
243.94	305.2
244.41	319.46
243.61	399.5
246.17	203.55
249.7	444.56
245	49
246.5	431.5
247.86	374.57
248.3	383.2
249.69	151.06
248	390
249.67	218.33
251.82	63.474
252.58	236.97
252.14	418.54
254.71	465.18
252.75	395.08
253.33	44.667
255.22	93.56
253.92	120.83
254.8	192.6
255.94	260.83
258.43	103.81
258	31
259.2	209.3
259.29	279
258.67	369.33
261.55	39.727
261.11	307.85
259	411.5
263.06	72.611
262.5	114.29
263.62	59.577
261.4	153.2
263.45	168.44
262	445.5
264.4	345.8
266.47	234.33
266.47	259.84
265.43	395.71
266.5	459.71
267.8	87.4
268.12	98.25
269.06	329.61
268.5	134
270.86	197.93
270.85	269.92
271	315.54
271.78	187.39
271.25	359.12
270.8	429.3
272.59	148.23
272.25	467.38
274.89	65.679
274.06	78.75
273.14	408
275.12	137.76
274.41	224.06
275.69	31.828
275.25	117.42
274	477.5
276.71	213.5
277.05	361.75
276.73	396.33
277.96	92.79
277.94	423.19
279.75	262.58
281.52	434.71
281.56	304.88
282.81	450.44
283	312.5
284.25	477.62
285.44	73.96
285.24	63.273
286.03	157.26
285.65	466.87
287.4	418.6
288.97	35.944
288.94	276.5
288.6	350.38
290.04	403.39
291.23	301.65
290.64	332.79
289	375.5
291.22	456.13
291.07	317.6
292.5	136.5
294.69	394.62
295.5	167
296.62	471.62
298.29	80.532
297.42	368.21
298.41	418.1
298.38	446.31
298.57	286.62
299.32	379.32
299.1	482.1
302.18	151.77
300.69	318.91
303.1	406.8
301.5	308
304.5	60.273
303	124
304.07	178.5
303	301
305.73	333.91
306.87	457.98
307.21	266.79
308.38	431.67
308.2	34.4
308.91	346.45
309.55	281.81
312.12	22.488
309.88	353.12
311.42	384.62
310.29	470
310	176
311.27	367.73
314.28	247.89
313.67	164.67
313.8	413.8
314.33	48.667
318.15	79.528
317.44	155.33
317.39	395.13
318.37	473.53
320.71	304.39
322.34	426.98
319.68	172.64
320	378.07
320.81	145.19
322.24	163.71
322.73	356
324.67	53.857
324	346.5
324.82	407.06
326.56	37.333
324.91	97.64
326.96	368.11
325.5	464.67
326.03	480.24
328.77	24.423
329.15	150.23
331.61	331.71
329.91	379.91
331.94	134.26
330	451.5
333.69	88.06
334.06	395.69
334.38	419.81
335.33	459.06
338.03	377.1
338.55	468.98
339.12	117.88
339	387.29
340.17	133.17
341.13	403.93
340.89	29.333
340.75	446.25
343	73
344.92	89.89
341.5	283
346.2	434.93
344.43	296.33
344	309
346	395
346.3	484.67
348.13	39.217
347.68	190.42
349.28	457.61
349.77	349.42
350.5	417
351.09	202.09
350.5	61.5
352.12	149.65
352.71	17
354	132.4
353.81	179.69
353.75	400.67
354.53	326.13
355.33	75.667
358.48	48.565
356.67	368.67
359.89	469.36
358.94	485.73
360.16	190.76
359.93	353.6
361.16	307.16
360	363.5
360.5	105
361.97	290.52
362.43	451.96
362.56	202.76
364.97	342.32
364.35	435.61
368.4	406.07
370.43	53.143
369.53	322.87
368.5	413.5
370.73	484.76
369.54	35.308
371.44	89.7
371.83	158.78
372	64
372.25	465
374.3	146.03
372.64	185.86
373	197.5
372	20
374.17	338
375.88	328.96
375	439.8
375.5	136.5
376.71	307.67
381.07	435.12
377.57	127.07
378.4	373.07
381.06	420.78
378.25	414
381.04	219.39
379	346.5
381.04	388.19
381.5	55.5
381.89	138.33
381	290.5
383.61	398.26
384.3	458.76
383.16	470.16
385.62	199.92
387.36	20.818
387.56	67.407
387.06	325.18
386.28	335.94
386.67	123.33
387.82	166.73
389	188
389.5	144
390.03	480.39
391.45	448.59
391.56	157.62
393.43	215.6
393.42	470.79
395.12	47.333
393.5	424
395.88	302.17
396.43	179.71
396	335.5
396.5	379.23
398.84	437.38
400.26	32.421
399.5	138.72
400.08	199.08
401.52	456.59
401.68	474.71
402.5	41
402.92	120.75
406	313.97
404.7	425.7
405.2	146.4
408.09	23.412
405	467.5
408.52	279.19
409.07	45.733
408.8	82.33
408.5	157.71
408.39	214.09
408.15	392
410.16	59.316
409.03	182.87
409.93	430.64
412.11	98.17
409.91	399.27
411.3	416.7
414.57	196.7
415.29	221.57
413	303
415.75	166.67
418.21	318.64
415.33	451.67
418.32	121.32
416.83	439.17
417.33	479.67
419.14	214.57
420.69	18.062
420.27	174.14
424.29	271.71
425.77	196.18
426.79	298.19
426.68	457.26
426	85.5
426.46	102.15
427	132
426.73	223.33
428.74	55.953
428	44.308
427.6	366.8
430.09	383.7
429.29	448.88
430.38	15.688
432	89
432.33	119.67
433.71	274.57
435.46	306
434.75	396.38
436.03	264.97
437.14	103.45
438.13	141.43
437.76	329.55
437.91	435.91
439	44
439.96	211.35
439.88	412.67
444.25	457.81
440.33	178.33
440.5	440.5
442	350
445.87	427.54
443	70.714
444.79	81.39
442.4	289.8
444.58	373.65
443.57	275.71
445.46	360.96
448.68	230.48
445.5	307.5
449.42	172.84
449	93
449.5	417
451	189.5
454.32	36.661
454.12	490.52
455.31	206.56
454.07	267.86
455.15	217
457.5	69.955
456.88	181.53
457.15	355.07
457.5	52.727
457.9	403.29
458.42	472.75
460.39	86.39
459.82	411.61
461.51	460.87
461.5	171.5
460	423.5
464	446
465.45	224.64
467.14	299.27
466.4	134.2
465.4	309.8
468.29	406.16
468.15	423.93
469.42	281.03
467.89	354.33
470.15	75.231
473.67	28.547
471.12	434.33
470.4	204.8
472.71	469.45
473.5	196.71
472.5	264.7
473.39	89.89
474.8	141.12
473	344
475.72	412.87
475.38	105.54
474.5	452
476.7	42.913
477.35	305.19
475.5	328
478.22	97.78
478.09	207.64
480.5	283.5
481.5	118.5
481.77	361.83
483.39	83.91
481.4	476.8
482.57	72.286
484.15	132.7
483.81	223.95
486.22	191.91
484.5	455.5
485.92	42.615
485.5	247
488.92	378.37
487.66	429.76
488.75	64.583
488.89	105.64
487	212
488.78	471.04
492	91
491.04	284.89
491.39	304.74
491	388.29
492.12	449.67
492	399
494.32	78.706
493.5	329
495.18	55.071
494.94	141.58
493.71	157
495.69	42.222
494.8	232.5
496.71	338.09
496.26	419.22
496.81	186.94
497.92	316.83
499.76	108.47
499.09	444.73
501	307.14
